platform,komentar,clean,stopword,stemming,sentimen
YouTube,"Masih blm menarik minat saya nonton komedi indonesia.
Thailand masih juara 🥉 klo soal lucu,
Korea jg banyak Yg lucu","masih blm menarik minat saya nonton komedi indonesia
thailand masih juara  klo soal lucu
korea jg banyak yg lucu",blm menarik minat nonton komedi indonesia thailand juara klo lucu korea jg yg lucu,blm tarik minat nonton komedi indonesia thailand juara klo lucu korea jg yg lucu,positif
YouTube,"For me cite ni best. Jalan cite tak meleret. Pelakon2 pun mmg kelakor. Spontan je kelakor dia. Especially yg botak tu. Suka lakonan dia. TP lawaknya biasa-biasa je. I dont know why, mmg x gelak langsung tengok cite ni😅 Ade a few of scene je yg lawak tp tak de la sampai nak ketawa guling2. Ntah la mungkin urat gelak ak dah putus kut😂 Overall ok la still worth watching. Ending pun ok. 06/10✨",for me cite ni best jalan cite tak meleret pelakon pun mmg kelakor spontan je kelakor dia especially yg botak tu suka lakonan dia tp lawaknya biasabiasa je i dont know why mmg x gelak langsung tengok cite ni ade a few of scene je yg lawak tp tak de la sampai nak ketawa guling ntah la mungkin urat gelak ak dah putus kut overall ok la still worth watching ending pun ok ,for me cite ni best jalan cite meleret pelakon mmg kelakor spontan je kelakor especially yg botak tu suka lakonan tp lawaknya biasabiasa je i dont know why mmg x gelak langsung tengok cite ni ade a few of scene je yg lawak tp de la nak ketawa guling ntah la urat gelak ak dah putus kut overall ok la still worth watching ending ok,for me cite ni best jalan cite leret lakon mmg kelakor spontan je kelakor especially yg botak tu suka lakon tp lawak biasabiasa je i dont know why mmg x gelak langsung tengok cite ni ade a few of scene je yg lawak tp de la nak ketawa guling ntah la urat gelak ak dah putus kut overall ok la still worth watching ending ok,positif
YouTube,skrg jadi 2 dan 3 karena disalip jumbo,skrg jadi  dan  karena disalip jumbo,skrg disalip jumbo,skrg salip jumbo,netral
YouTube,"Gpp bang, gw yg udh nonton di bioskop ngakak abis sama film ini. Padahal gw orangnya sering skeptis sama film2 buatan Indonesia",gpp bang gw yg udh nonton di bioskop ngakak abis sama film ini padahal gw orangnya sering skeptis sama film buatan indonesia,gpp bang gw yg udh nonton bioskop ngakak abis film gw orangnya skeptis film buatan indonesia,gpp bang gw yg udh nonton bioskop ngakak abis film gw orang skeptis film buat indonesia,netral
YouTube,"@abdullahryadz2960  semoga aja ya, nti saya coba 👍",abdullahryadz  semoga aja ya nti saya coba ,abdullahryadz semoga aja ya nti coba,abdullahryadz moga aja ya nti coba,netral
YouTube,Seru banget film agak laen😊,seru banget film agak laen,seru banget film laen,seru banget film laen,positif
YouTube,Comment est ce film ?,comment est ce film ,comment est ce film,comment est ce film,netral
YouTube,Bagus❤❤❤❤❤❤❤❤❤sekali,bagussekali,bagussekali,bagussekali,positif
YouTube,😮 lebih ke sarkas sih :), lebih ke sarkas sih ,sarkas sih,sarkas sih,netral
YouTube,Tapi lebih ke sarkas sih :),tapi lebih ke sarkas sih ,sarkas sih,sarkas sih,netral
YouTube,Gua telat,gua telat,gua telat,gua telat,netral
YouTube,Ini beneren komedikah?? Tpi kok trailernya kyk seram gtu yages?,ini beneren komedikah tpi kok trailernya kyk seram gtu yages,beneren komedikah tpi trailernya kyk seram gtu yages,beneren komedi tpi trailer kyk seram gtu yages,netral
YouTube,"Info dong, pengen nonton tp takut kalo seram😢",info dong pengen nonton tp takut kalo seram,info pengen nonton tp takut kalo seram,info ken nonton tp takut kalo seram,netral
YouTube,Akhirnya td mlm nonton di Netflix. Perutku sakit ngakak mulu 🤣🤣🤣 Oki aktingnya boleh juga 👍,akhirnya td mlm nonton di netflix perutku sakit ngakak mulu  oki aktingnya boleh juga ,td mlm nonton netflix perutku sakit ngakak mulu oki aktingnya,td mlm nonton netflix perut sakit ngakak mulu oki akting,netral
YouTube,review dari 🇲🇾 sumpah lawakkk gila keras perut gelakk 😂😂😂😂,review dari  sumpah lawakkk gila keras perut gelakk ,review sumpah lawakkk gila keras perut gelakk,review sumpah lawakkk gila keras perut gelakk,netral
YouTube,Gaje😂😂😂😂😂🤣🤣🤣,gaje,gaje,gaje,netral
YouTube,Lebih baik jangan la samakan melontar jumrah dengan permainan itu.. kerana melontar jumrah itu ibadah jangan dimainkannya.. ingat ya,lebih baik jangan la samakan melontar jumrah dengan permainan itu kerana melontar jumrah itu ibadah jangan dimainkannya ingat ya,la samakan melontar jumrah permainan kerana melontar jumrah ibadah dimainkannya ya,la sama lontar jumrah main rana lontar jumrah ibadah main ya,netral
YouTube,Saya sudah nonton di Netflix.  Dijamin terhibur. Filem komedi horror terbaik❤,saya sudah nonton di netflix  dijamin terhibur filem komedi horror terbaik,nonton netflix dijamin terhibur filem komedi horror terbaik,nonton netflix jamin hibur filem komedi horror baik,netral
YouTube,lumayan,lumayan,lumayan,lumayan,netral
YouTube,UDAHH NONTON SERU ABISS,udahh nonton seru abiss,udahh nonton seru abiss,udahh nonton seru abiss,positif
YouTube,"Wuihhh keren Bagus alur cerita nih film tp kurang sedikit Complect..
- Bang.Sadana Totalitas acting'y mantap
- Bang.Oki cocok drama akting jd orang susah sangat menjiwai
- satu Bioskop pecah ketika Nopek&Kristo membawakan ras komedi.
- seandainya Bang.Ari kriting&Pras berperan jd Detectif/Intel pasti lebih kocak disetiap kemunculannya akan banyak jump scare mungkin.
- wkwkk Yono Sukses besar, hanya beberap detik berhasil membuat orang2 berkesan.","wuihhh keren bagus alur cerita nih film tp kurang sedikit complect
 bangsadana totalitas actingy mantap
 bangoki cocok drama akting jd orang susah sangat menjiwai
 satu bioskop pecah ketika nopekkristo membawakan ras komedi
 seandainya bangari kritingpras berperan jd detectifintel pasti lebih kocak disetiap kemunculannya akan banyak jump scare mungkin
 wkwkk yono sukses besar hanya beberap detik berhasil membuat orang berkesan",wuihhh keren bagus alur cerita nih film tp complect bangsadana totalitas actingy mantap bangoki cocok drama akting jd orang susah menjiwai bioskop pecah nopekkristo membawakan ras komedi seandainya bangari kritingpras berperan jd detectifintel kocak disetiap kemunculannya jump scare wkwkk yono sukses beberap detik berhasil orang berkesan,wuihhh keren bagus alur cerita nih film tp complect bangsadana totalitas actingy mantap bangoki cocok drama akting jd orang susah jiwa bioskop pecah nopekkristo bawa ras komedi anda bangar kritingpras peran jd detectifintel kocak tiap muncul jump scare wkwkk yono sukses beberap detik hasil orang kesan,positif
YouTube,LAMO (PHAHAHAHA😂😂😂😂😂😂😂😂😂😂),lamo phahahaha,lamo phahahaha,lamo phahahaha,netral
YouTube,"Gua dari Malaysia, gua bakal liat cerita ini harini juga... Ga ada tapi tapi.... Gua bakal liat disekolah ku.... 😤😤😤",gua dari malaysia gua bakal liat cerita ini harini juga ga ada tapi tapi gua bakal liat disekolah ku ,gua malaysia gua liat cerita harini ga gua liat disekolah ku,gua malaysia gua liat cerita harini ga gua liat seko ku,netral
YouTube,Gw kira diakhir pas jegel kluar penjara bakal dijemput rais,gw kira diakhir pas jegel kluar penjara bakal dijemput rais,gw diakhir pas jegel kluar penjara dijemput rais,gw akhir pas jegel kluar penjara jemput rais,netral
YouTube,tak ada next movie dari agak laen ke? salam dari malaysia,tak ada next movie dari agak laen ke salam dari malaysia,next movie laen salam malaysia,next movie laen salam malaysia,netral
YouTube,Komedi gado gado,komedi gado gado,komedi gado gado,komedi gado gado,netral
YouTube,"gak ada seremnya, kalo ngakak iya, namanya juga agak laen wkwkwk",gak ada seremnya kalo ngakak iya namanya juga agak laen wkwkwk,gak seremnya kalo ngakak iya namanya laen wkwkwk,gak rem kalo ngakak iya nama laen wkwkwk,netral
YouTube,Lucu kok. Dramanya juga ada. Lengkap pokoknya hehehe. Dijamin nggak ketakutan tapi ketawa ngakak😂,lucu kok dramanya juga ada lengkap pokoknya hehehe dijamin nggak ketakutan tapi ketawa ngakak,lucu dramanya lengkap pokoknya hehehe dijamin nggak ketakutan ketawa ngakak,lucu drama lengkap pokok hehehe jamin nggak takut ketawa ngakak,positif
YouTube,10/10 . Salam dri Malaysia. Ceritanya lucu amat,  salam dri malaysia ceritanya lucu amat,salam dri malaysia ceritanya lucu,salam dri malaysia cerita lucu,positif
YouTube,Kelakarr gilaaa citer ni😂😂. Berair mata gelak punya pasal. Lawak dia tu spontan. Dah la muka sorang2 mcm tu. Hahha,kelakarr gilaaa citer ni berair mata gelak punya pasal lawak dia tu spontan dah la muka sorang mcm tu hahha,kelakarr gilaaa citer ni berair mata gelak pasal lawak tu spontan dah la muka sorang mcm tu hahha,kelakarr gilaaa citer ni air mata gelak pasal lawak tu spontan dah la muka sorang mcm tu hahha,netral
YouTube,"Rumahnya hantu agak laen
Kayanya aku tidak tau rumah-rumah ini","rumahnya hantu agak laen
kayanya aku tidak tau rumahrumah ini",rumahnya hantu laen kayanya tau rumahrumah,rumah hantu laen kaya tau rumahrumah,netral
YouTube,Agak Laen,agak laen,laen,laen,netral
YouTube,Korbannya Om Arief Didu....😆😆😆😆😆😆,korbannya om arief didu,korbannya om arief didu,korban om arief didu,netral
YouTube,"Paling suka sama film Indo yang suasananya bener-bener mencirikan ada di Indonesia, 
Sama Lucu sih castingnya, pemeran utamanya orang-orang batak dan emang diperankan orang yang punya darah batak tapi logatnya tipis-tipis, kadang gak masuk logatnya.. 😂","paling suka sama film indo yang suasananya benerbener mencirikan ada di indonesia 
sama lucu sih castingnya pemeran utamanya orangorang batak dan emang diperankan orang yang punya darah batak tapi logatnya tipistipis kadang gak masuk logatnya ",suka film indo suasananya benerbener mencirikan indonesia lucu sih castingnya pemeran utamanya orangorang batak emang diperankan orang darah batak logatnya tipistipis kadang gak masuk logatnya,suka film indo suasana benerbener ciri indonesia lucu sih castingnya per utama orangorang batak emang peran orang darah batak logat tipistipis kadang gak masuk logat,positif
YouTube,"Abis nonton di Netflix bersama suami bule.. dia ketawa tawa walaupun baca subtitle nya,. Alhamdulillah",abis nonton di netflix bersama suami bule dia ketawa tawa walaupun baca subtitle nya alhamdulillah,abis nonton netflix suami bule ketawa tawa baca subtitle nya alhamdulillah,abis nonton netflix suami bule ketawa tawa baca subtitle nya alhamdulillah,netral
YouTube,Baru tonton di Netflix. Lucu sekali. Aku akan ulang nonton nanti.,baru tonton di netflix lucu sekali aku akan ulang nonton nanti,tonton netflix lucu ulang nonton,tonton netflix lucu ulang nonton,positif
YouTube,Seru banget ini udh nonton pliss ada s2 nya,seru banget ini udh nonton pliss ada s nya,seru banget udh nonton pliss s nya,seru banget udh nonton pliss s nya,positif
YouTube,"NEXT HARAP-HARAP FILM AGAK LAEN ADA SEKUEL NO 2 DAN TAMBAH PELAKON ATAU KOMIKA SEPERTI GENG -GENG LAPOR PAK SURYA INSOMNIA,WENDY CAGUR,ANDHIKA PRATAMA,KOMANDAN ANDRE TAULANY,KOMANDAN INDRO WARKOP KERANA FILM AGAK LAEN SEPERTI LEGACY LAWAK FILM-FILM 90AN,HARAP-HARAP PENGARAH DAN PRODUCER DAPAT REALITASIKAN PEMINAT FILM AGAK LAEN",next harapharap film agak laen ada sekuel no  dan tambah pelakon atau komika seperti geng geng lapor pak surya insomniawendy cagurandhika pratamakomandan andre taulanykomandan indro warkop kerana film agak laen seperti legacy lawak filmfilm anharapharap pengarah dan producer dapat realitasikan peminat film agak laen,next harapharap film laen sekuel no pelakon komika geng geng lapor surya insomniawendy cagurandhika pratamakomandan andre taulanykomandan indro warkop kerana film laen legacy lawak filmfilm anharapharap pengarah producer realitasikan peminat film laen,next harapharap film laen sekuel no lakon komika geng geng lapor surya insomniawendy cagurandhika pratamakomandan andre taulanykomandan indro warkop rana film laen legacy lawak filmfilm anharapharap arah producer realitasikan minat film laen,netral
YouTube,Cerita dan aktornya jempolan,cerita dan aktornya jempolan,cerita aktornya jempolan,cerita aktor jempol,netral
YouTube,saya dr singapore .saya suka sangat sekali cerita ni,saya dr singapore saya suka sangat sekali cerita ni,dr singapore suka cerita ni,dr singapore suka cerita ni,positif
YouTube,"As malaysian, we need make this movie like that, remind us senario golden era. The joke and great relationship. Dont always make gangster movie, thats why sheriff is useless in indo",as malaysian we need make this movie like that remind us senario golden era the joke and great relationship dont always make gangster movie thats why sheriff is useless in indo,as malaysian we need make this movie like that remind us senario golden era the joke and great relationship dont always make gangster movie thats why sheriff is useless in indo,as malaysian we need make this movie like that remind us senario golden era the joke and great relationship dont always make gangster movie thats why sheriff is useless in indo,netral
YouTube,Lucuuuu buangetttttt❤❤❤❤❤😂😂😂😂😂,lucuuuu buangetttttt,lucuuuu buangetttttt,lucuuuu buangetttttt,positif
YouTube,Angin apa yang bisa buka kursi lipat?  ANGIN DUDUK!!! disini gue merasa bahwa kalian anjing bangets😂😂,angin apa yang bisa buka kursi lipat  angin duduk disini gue merasa bahwa kalian anjing bangets,angin buka kursi lipat angin duduk gue anjing bangets,angin buka kursi lipat angin duduk gue anjing bangets,netral
YouTube,Bahasanya dari daerah mana ya?,bahasanya dari daerah mana ya,bahasanya daerah ya,bahasa daerah ya,netral
YouTube,Lucu ini wjkw horor komedi,lucu ini wjkw horor komedi,lucu wjkw horor komedi,lucu wjkw horor komedi,positif
YouTube,"2025 masih menonton, anjir ngakar teguling2 kek pocong.. sumpah lucuuuu
,"" dancccuuuukkk setannnnnya Bataak"" 😂😂😂😂😂😂"," masih menonton anjir ngakar teguling kek pocong sumpah lucuuuu
 dancccuuuukkk setannnnnya bataak ",menonton anjir ngakar teguling kek pocong sumpah lucuuuu dancccuuuukkk setannnnnya bataak,tonton anjir ngakar teguling kek pocong sumpah lucuuuu dancccuuuukkk setannnnnya bataak,positif
YouTube,"I like this movie, from Vietnam ❤️",i like this movie from vietnam ,i like this movie from vietnam,i like this movie from vietnam,netral
YouTube,Lah aq g pernah bunuh orang lho brooo,lah aq g pernah bunuh orang lho brooo,aq g bunuh orang lho brooo,aq g bunuh orang lho brooo,netral
YouTube,@The koolpals,the koolpals,the koolpals,the koolpals,netral
YouTube,mmg mantap haha,mmg mantap haha,mmg mantap haha,mmg mantap haha,positif
YouTube,Sudah kami review yaa,sudah kami review yaa,review yaa,review yaa,netral
YouTube,"Baru lihat di Netflix, the best movie top Malaysia no 1 tahniah bro👏🏼👏🏼",baru lihat di netflix the best movie top malaysia no  tahniah bro,lihat netflix the best movie top malaysia no tahniah bro,lihat netflix the best movie top malaysia no tahniah bro,netral
YouTube,"Gila sih mereka bukan aktor loh, tapi bagus banget aktingnya terutama Oki bagian dia sma mamaknya pasti nangis gw.. suskes buat Agak Laen ❤❤❤😂😂😂😂",gila sih mereka bukan aktor loh tapi bagus banget aktingnya terutama oki bagian dia sma mamaknya pasti nangis gw suskes buat agak laen ,gila sih aktor loh bagus banget aktingnya oki sma mamaknya nangis gw suskes laen,gila sih aktor loh bagus banget akting oki sma mamak nang gw suskes laen,positif
YouTube,"Luarbiasa gw ngakak sedih, tegang juga disatu film ini 😂😂😂😂😂😂😢😢😢😮😮😮😂😂😂",luarbiasa gw ngakak sedih tegang juga disatu film ini ,luarbiasa gw ngakak sedih tegang disatu film,luarbiasa gw ngakak sedih tegang satu film,netral
YouTube,Dari brunei! Lucu sekali lakonan nya! Suka bangett,dari brunei lucu sekali lakonan nya suka bangett,brunei lucu lakonan nya suka bangett,brunei lucu lakon nya suka bangett,positif
YouTube,7juta penonton gaes,juta penonton gaes,juta penonton gaes,juta tonton gaes,netral
YouTube,Kangen mantan jadi puter ulang trailer nya agak laen karna pas nonton ini ketawa ketawa bareng sama mantan :),kangen mantan jadi puter ulang trailer nya agak laen karna pas nonton ini ketawa ketawa bareng sama mantan ,kangen mantan puter ulang trailer nya laen karna pas nonton ketawa ketawa bareng mantan,kangen mantan puter ulang trailer nya laen karna pas nonton ketawa ketawa bareng mantan,netral
YouTube,Akhirnya Ada Film Indo Yang Lucu Dan Horror *Dari Cucu,akhirnya ada film indo yang lucu dan horror dari cucu,film indo lucu horror cucu,film indo lucu horror cucu,positif
YouTube,😮😮😮 angin apa yang bisa buka kursi lipat??? ANGIN DUDUK 😅😅😅, angin apa yang bisa buka kursi lipat angin duduk ,angin buka kursi lipat angin duduk,angin buka kursi lipat angin duduk,netral
YouTube,Ada ketawanya tpi ending nya bikin nyesek  sampai lupa buka puasa waktu nonton ini di bioskop,ada ketawanya tpi ending nya bikin nyesek  sampai lupa buka puasa waktu nonton ini di bioskop,ketawanya tpi ending nya bikin nyesek lupa buka puasa nonton bioskop,ketawa tpi ending nya bikin nyesek lupa buka puasa nonton bioskop,netral
YouTube,Tayang di netflix kah ?,tayang di netflix kah ,tayang netflix kah,tayang netflix kah,netral
YouTube,Kukira ada aming😂,kukira ada aming,kukira aming,kira aming,netral
YouTube,"klo komika lucunya garing dan gak adab, krn maksain Lucunya",klo komika lucunya garing dan gak adab krn maksain lucunya,klo komika lucunya garing gak adab krn maksain lucunya,klo komika lucu garing gak adab krn maksain lucu,positif
YouTube,Sudah ready di platform online kah?,sudah ready di platform online kah,ready platform online kah,ready platform online kah,netral
YouTube,PLSSS UDH JADI TERLARIS KE 2 DI INDO 😭😭👍👍,plsss udh jadi terlaris ke  di indo ,plsss udh terlaris indo,plsss udh laris indo,netral
YouTube,Bang bikin agak lain kedua,bang bikin agak lain kedua,bang bikin,bang bikin,netral
YouTube,Nntn trailernya aja udh ngakak😂,nntn trailernya aja udh ngakak,nntn trailernya aja udh ngakak,nntn trailer aja udh ngakak,netral
YouTube,Saya dari Brunei. Baru tengok semalam.. saya kasi 10/10.. mesti tengok beberapa kali. Lucu banget,saya dari brunei baru tengok semalam saya kasi  mesti tengok beberapa kali lucu banget,brunei tengok semalam kasi mesti tengok kali lucu banget,brunei tengok malam kasi mesti tengok kali lucu banget,positif
YouTube,season 2 tayang 2025 ya?,season  tayang  ya,season tayang ya,season tayang ya,netral
YouTube,"Besok putar filmnya lagi, tayang d Netflix",besok putar filmnya lagi tayang d netflix,besok putar filmnya tayang d netflix,besok putar film tayang d netflix,netral
YouTube,"bacot dek, nonton juga kaga malah ngatain komedinya garing",bacot dek nonton juga kaga malah ngatain komedinya garing,bacot dek nonton kaga ngatain komedinya garing,bacot dek nonton kaga ngatain komedi garing,negatif
YouTube,"Jujur cerita nya keren tapi pemainnya kok saya gag ada yg kenal ya, apa emang ini low budget gag pake artis pemain papan atas dengan fee rendah karena Untung untungan takut gag laku",jujur cerita nya keren tapi pemainnya kok saya gag ada yg kenal ya apa emang ini low budget gag pake artis pemain papan atas dengan fee rendah karena untung untungan takut gag laku,jujur cerita nya keren pemainnya gag yg kenal ya emang low budget gag pake artis pemain papan fee rendah untung untungan takut gag laku,jujur cerita nya keren main gag yg kenal ya emang low budget gag pake artis main papan fee rendah untung untung takut gag laku,positif
YouTube,Jegel mqnq,jegel mqnq,jegel mqnq,jegel mqnq,netral
YouTube,Tembus ke bioskop Amerika ini,tembus ke bioskop amerika ini,tembus bioskop amerika,tembus bioskop amerika,netral
YouTube,"One of the best movie. I said all movie, not just Indonesian",one of the best movie i said all movie not just indonesian,one of the best movie i said all movie not just indonesian,one of the best movie i said all movie not just indonesian,netral
YouTube,Panik gak tu wkwkkkk🤣😂😂😂,panik gak tu wkwkkkk,panik gak tu wkwkkkk,panik gak tu wkwkkkk,netral
YouTube,"Kocak banget film nya, hampir sepanjangan ketawa",kocak banget film nya hampir sepanjangan ketawa,kocak banget film nya sepanjangan ketawa,kocak banget film nya panjang ketawa,netral
YouTube,"Saya lebih suka yang beginian dari pada film horor sebelum sebelumnya, yg kesannya malah terlalu sadis, gak serrem setannya, malah menampilkan pembunuhan dan pembunuhan pembunuhan sadis sadis, gak sesuai dengan genrenya yg katanya horor, malah yg di tampilkan pembunuhan pembunuhan sesuatu yg tidak patut di pertontonkan, terlalu sadis, gak ada kesan horornya sama sekali",saya lebih suka yang beginian dari pada film horor sebelum sebelumnya yg kesannya malah terlalu sadis gak serrem setannya malah menampilkan pembunuhan dan pembunuhan pembunuhan sadis sadis gak sesuai dengan genrenya yg katanya horor malah yg di tampilkan pembunuhan pembunuhan sesuatu yg tidak patut di pertontonkan terlalu sadis gak ada kesan horornya sama sekali,suka film horor yg kesannya sadis gak serrem setannya menampilkan pembunuhan pembunuhan pembunuhan sadis sadis gak sesuai genrenya yg horor yg tampilkan pembunuhan pembunuhan yg patut pertontonkan sadis gak kesan horornya,suka film horor yg kesan sadis gak serrem setan tampil bunuh bunuh bunuh sadis sadis gak sesuai genre yg horor yg tampil bunuh bunuh yg patut tonton sadis gak kesan horor,positif
YouTube,"arip didu wkwkwkk
bapak bapak kocak . . .","arip didu wkwkwkk
bapak bapak kocak   ",arip didu wkwkwkk kocak,arip didu wkwkwkk kocak,netral
YouTube,Lucuuukk bgt ini filmnya. Kocak abis deh,lucuuukk bgt ini filmnya kocak abis deh,lucuuukk bgt filmnya kocak abis deh,lucuuukk bgt film kocak abis deh,positif
YouTube,Ga lucu dah,ga lucu dah,ga lucu dah,ga lucu dah,positif
YouTube,Emg indonesia the best dh bikin film lucu 😅😅,emg indonesia the best dh bikin film lucu ,emg indonesia the best dh bikin film lucu,emg indonesia the best dh bikin film lucu,positif
YouTube,ngakak parah.. asli.. wajar kalau penonton banyak,ngakak parah asli wajar kalau penonton banyak,ngakak parah asli wajar penonton,ngakak parah asli wajar tonton,netral
YouTube,Oi kapan tayang udh ngk sabar nih 😭😭😭,oi kapan tayang udh ngk sabar nih ,oi tayang udh ngk sabar nih,oi tayang udh ngk sabar nih,netral
YouTube,"aku udah nontonnn, kerennn bangettt",aku udah nontonnn kerennn bangettt,udah nontonnn kerennn bangettt,udah nontonnn kerennn bangettt,positif
YouTube,Ak uda noton di biosok seruu😂 kalo tidak lucu bukan agam lain,ak uda noton di biosok seruu kalo tidak lucu bukan agam lain,ak uda noton biosok seruu kalo lucu agam,ak uda noton biosok seruu kalo lucu agam,positif
YouTube,Biase aje,biase aje,biase aje,biase aje,netral
YouTube,Di netflix ada kluar blom?,di netflix ada kluar blom,netflix kluar blom,netflix kluar blom,netral
YouTube,Aku ada ide…. Wkwkwkwkw jegel jegel…. Idenya koplak semua wkwkwkwkkw,aku ada ide wkwkwkwkw jegel jegel idenya koplak semua wkwkwkwkkw,ide wkwkwkwkw jegel jegel idenya koplak wkwkwkwkkw,ide wkwkwkwkw jegel jegel ide koplak wkwkwkwkkw,netral
YouTube,"setannya batak, lucu banget nopek. untung gak nonton trailernya dulu.",setannya batak lucu banget nopek untung gak nonton trailernya dulu,setannya batak lucu banget nopek untung gak nonton trailernya,setan batak lucu banget nopek untung gak nonton trailer,positif
YouTube,comedy horor drama sampe crime ada semua... genre bending bgt nih film gokil,comedy horor drama sampe crime ada semua genre bending bgt nih film gokil,comedy horor drama sampe crime genre bending bgt nih film gokil,comedy horor drama sampe crime genre bending bgt nih film gokil,netral
YouTube,Artis papan atas emang ada yang lucu? Kalo pemainnya jefri nichol ya nggak lucu lah filmnya,artis papan atas emang ada yang lucu kalo pemainnya jefri nichol ya nggak lucu lah filmnya,artis papan emang lucu kalo pemainnya jefri nichol ya nggak lucu filmnya,artis papan emang lucu kalo main jefri nichol ya nggak lucu film,positif
YouTube,ga ada yg kenal? ini pemerannya komika yg udah terkenal malah dibilang low budget. lah terus film komedi kayak gini siapa aktor/aktris yg cocok? reza rahadian? 😅,ga ada yg kenal ini pemerannya komika yg udah terkenal malah dibilang low budget lah terus film komedi kayak gini siapa aktoraktris yg cocok reza rahadian ,ga yg kenal pemerannya komika yg udah terkenal dibilang low budget film komedi kayak gini aktoraktris yg cocok reza rahadian,ga yg kenal per komika yg udah kenal bilang low budget film komedi kayak gin aktoraktris yg cocok reza rahadian,netral
